japnese,pronounciation,english
行く	,iku,	go
見る	,miru,	see
多い	,ooi,	a lot of
これ	,kore,	this
それ	,sore,	that
私	    ,watashi,	I
仕事	,shigoto,	work
いつ	,itsu,	when
する	,suru,	do
出る	,deru,	go out
使う	,tsukau,	use
所	    ,tokoro,	place
作る	,tsukuru,	make
思う	,omou,	think
持つ	,motsu,	have
買う	,kau,	buy
時間	,jikan,	time
知る	,shiru,	know
同じ	,onaji,	same
今	    ,ima,	    now
新しい	,atarashii,	new
なる	,naru,	become
まだ	,mada,	still
あと	,ato,	after
聞く	,kiku,	hear
言う	,iu,	say
少ない	,sukunai,	few
高い	,takai,	high
子供	,kodomo	,child
学生	,gakusei,	student
